Ángulo,Ancho,Etiqueta
24.25635922,0.6430132280326896,Pico 1
30.87402286,0.9178266202710396,Pico 2
32.5021782,0.5329167353937728,Pico 3
33.2899953,0.38170924834426934,Pico 4
34.31415753,0.6071395289760975,Pico 5
35.75848888,0.4564361347046213,Pico 6
41.01060288,0.7529895108407663,Pico 7
49.59780927,0.605639987245289,Pico 8
54.19340902,0.5576845195722354,Pico 9
62.57053085,0.7789754474376926,Pico 10
64.11990448,0.8041398545895624,Pico 11
